HB.import_ref,HB.parent_import_ref,HB.location,HB.tags,HB.asset_id,HB.archived,HB.url,HB.name,HB.quantity,HB.description,HB.insured,HB.notes,HB.purchase_price,HB.purchase_from,HB.purchase_date,HB.manufacturer,HB.model_number,HB.serial_number,HB.lifetime_warranty,HB.warranty_expires,HB.warranty_details,HB.sold_to,HB.sold_price,HB.sold_date,HB.sold_notes,HB.field.Color,HB.field.Field Name,HB.field.Gramos,HB.field.Longitud (m)
,,Casa Javi,Otras,000-003,false,/item/029af173-9c9c-42cb-b997-93a78de532ab,Alambres flores,1,"Para los tallos
Son muy finos",false,,0,,,,,,false,,,,0,,,,,,
,,Casa Javi,Lana,000-019,false,/item/0a5f16d7-3d7a-4ffc-95b2-169e4a49621e,Lana beige,1,AliExpress ,false,,0,,0001-05-18,,,,false,0001-05-18,,,0,0001-05-18,,,,,
,,Casa Javi,Lana,000-009,false,/item/2029914d-b3cd-4e61-87c6-77c0384e958e,Lana rojo burdeos?,1,Milk cotton,false,,0,,,,,,false,,,,0,,,,,50,70
,,Casa Javi,Lana,000-006,false,/item/2383dc69-240f-4d52-80e3-2be2c94181eb,Lana blanca pura chenilla,1,"Marca snowball
TamaÃ±o medio",false,,0,,0001-03-05,,,,false,0001-03-05,,,0,0001-03-05,,,,50,70
,,Casa Javi,Lana,000-029,false,/item/2b0b9c98-d482-44b8-81ff-6a1310f34996,Lana negra,1,melisa fina,false,,0,,,Cotton Milk?,,,false,,,,0,,,,,,
,,Casa Javi,Lana,000-005,false,/item/3480fd8f-d069-4a33-9dab-375cb071689d,Lana marron cerbeza,1,Aliexpress,false,https://es.aliexpress.com/item/1005003949826666.html?aff_fcid=a31d0d799efa4a0c9466363154de1c93-1781963008694-00196-_DdYue7j&tt=CPS_NORMAL&aff_fsk=_DdYue7j&aff_platform=portals-tool&sk=_DdYue7j&aff_trace_key=a31d0d799efa4a0c9466363154de1c93-1781963008694-00196-_DdYue7j&terminal_id=b79ca2686cd747d1a8f4c9c8c8c8b41c&afSmartRedirect=y,0,,0001-06-20,,34,,false,0001-06-20,,,0,0001-06-20,,,,50,70
,,Casa Javi,Lana,000-001,false,/item/37674c86-f486-4968-a43c-a69aef0fb155,Lana amarilla,1,,false,,0,,0001-03-05,,,,false,0001-03-05,,,0,0001-03-05,,Test,,,
,,Casa Javi,Lana,000-030,false,/item/38a2ddd3-7885-4197-83f8-312b7692a1c9,Lana azul oscuro,1,melisa fina,false,,0,,,Cotton Milk?,,,false,,,,0,,,,,,
,,Casa Natalia,,000-025,false,/item/45b065e3-657c-4c7c-8afe-4383d6fac1cd,Lana lila,1,Melissa fina,false,,0,,,,,,false,,,,0,,,,,,
,,Casa Alba,,000-033,false,/item/57622fa2-bed9-4225-bf1f-53902ddc47f4,Lana rosa fucsia,1,,false,,0,,0001-06-20,,,,false,0001-06-20,,,0,0001-06-20,,,,,
,,Casa Alba,Lana,000-020,false,/item/5ad910d3-2835-414b-a913-b9e9df4ec4bf,Lana negra,1,AliExpress ,false,,0,,,,,,false,,,,0,,,,,,
,,Casa Javi,Lana,000-013,false,/item/62d945fe-c521-4d0c-8e75-0e172b2860a8,Lana verde menta,1,Milk cotton,false,,0,,,,,,false,,,,0,,,,,50,70
,,Casa Javi,Lana,000-007,false,/item/6d2a048d-c4b1-4873-819c-13269f028782,Lana roja chenilla,1,"No muy intensa
Marca snowball
TamaÃ±o medio",false,,0,,,,,,false,,,,0,,,,,50,70
,,Casa Alba,Lana,000-021,false,/item/72679196-3089-47b6-a93e-da3a0a3a4176,Lana chenilla marrÃ³n,1,,false,,0,,,,,,false,,,,0,,,,,,
,,Casa Alba,Lana,000-024,false,/item/7eb61587-0659-4642-9a92-946f128dd261,Lana negra,1,Como Melissa pero mejor,false,,0,,,,,,false,,,,0,,,,,,
,,Casa Javi,Lana,000-027,false,/item/803e0403-575b-4ec7-9f36-5ae995ec75bd,Lana azul claro,1,Melisa bebe,false,,0,,,Cotton Milk?,,,false,,,,0,,,,,,
,,Casa Javi,Lana,000-012,false,/item/829b6605-68ce-4f84-8d15-18a36a1b8b40,Lana chenilla verde,1,"Chenilla gorda
Aliexpress",false,,0,,,,,,false,,,,0,,,,,50,70
,,Casa Javi,Lana,000-015,false,/item/8a8d7101-c9c3-421d-8110-ff4c0f9a6cd5,Lana amarilla breeze,1,Melisa breeze,false,,0,,,,,,false,,,,0,,,,,50,70
,,Casa Javi,Lana,000-026,false,/item/8b399cf1-5dc8-4a70-a439-e9c5084bff9a,Lana Azul fina,1,Melisa fina,false,,0,,,,,,false,,,,0,,,,,,
,,Casa Alba,,000-031,false,/item/8c1482e3-b791-406b-b82d-3019d98fb540,Lana verde claro,1,,false,,0,,,,,,false,,,,0,,,,,,
,,Casa Alba,Lana,000-022,false,/item/91e4b772-4c0b-44d8-bf88-b7dd25f622eb,Lana chenilla beige,1,,false,,0,,,,,,false,,,,0,,,,,,
,,Casa Javi,Lana,000-017,false,/item/9e4c7c33-24e8-4747-9e3a-cb95a313613c,Lana morada,1,Aliexpress,false,,0,,,,,,false,,,,0,,,,,50,70
,,Casa Javi,Lana,000-004,false,/item/a1881a53-b474-4fe7-b62c-8a23428d9376,Lana blanco roto?,2,,false,,0,,,,,,false,,,,0,,,,,50,70
,,Casa Javi,Lana,000-002,false,/item/a1cf933d-1355-40eb-b9b3-4192f41d1ea3,Lana rosa claro,1,,false,,0,,,,,,false,,,,0,,,,,50,70
,,Casa Alba,Lana,000-023,false,/item/c44b2f83-daa8-4388-82e6-14921bf8a3af,Lana blanca,1,Tipo melissa fina pero mejor,false,,0,,0001-03-05,,,,false,0001-03-05,,,0,0001-03-05,,,,,
,,Casa Javi,Lana,000-011,false,/item/c5ce425d-7439-4f41-bb16-c8eb593b2fae,Lana gris,1,Milk cotton,false,,0,,,,,,false,,,,0,,,,,50,70
,,Casa Javi,Lana,000-010,false,/item/ce1b9010-03e4-4f9b-9f21-31adbddd1d0b,Lana verde lima claro,1,Milk cotton,false,,0,,0001-03-05,,,,false,0001-03-05,,,0,0001-03-05,,,,50,70
,,Casa Javi,Lana,000-014,false,/item/d0866945-7b6e-4cc3-b5e2-dad97877d281,Lana naranja breeze,1,Melisa brezze,false,,0,,,,,,false,,,,0,,,,,50,70
,,Casa Javi,Lana,000-028,false,/item/d134ac61-aa28-4aa4-877a-8369e47be987,Lana roja,1,melisa fina,false,,0,,,Cotton Milk?,,,false,,,,0,,,,,,
,,Casa Alba,Lana,000-018,false,/item/e946e3f4-1666-4d06-bf32-efbdc7a15e37,Lana marrÃ³n ,1,AliExpress,false,,0,,,,,,false,,,,0,,,,,,
,,Casa Javi,Lana,000-008,false,/item/eb07396b-aeb1-4e9e-b408-37c01860be63,Lana naranja ,1,Milk cotton,false,,0,,,,,,false,,,,0,,,,,50,70
,,Casa Javi,Lana,000-016,false,/item/ec654153-2170-4d36-9cfe-5487ec70a87c,Lana crema/beige,1,Tipo dura,false,,0,,0001-03-05,,,,false,0001-03-05,,,0,0001-03-05,,,,50,70
,,Casa Alba,,000-032,false,/item/f188fec1-3a2a-4596-b982-4e9ee37e8d8a,Lana verde claro melissa fina,1,,false,,0,,,,,,false,,,,0,,,,,,
